Company Name,Website,Booth #,Category/Tier,Description,LinkedIn URL,Confidence
Comcast Business,https://business.comcast.com,,Sponsor,"Business communications solutions; acquired Masergy",https://www.linkedin.com/company/comcast/,Confirmed
Cox Business,https://www.coxbusiness.com,,Sponsor,"Communications solutions serving ~400,000 businesses nationally",https://www.linkedin.com/company/cox-business/,Confirmed
AT&T,https://www.att.com/business,,Networking Event Sponsor,"Expo Hall Opening Reception sponsor",https://www.linkedin.com/company/at&t/,Confirmed
Genesys,https://www.genesys.com,,Sponsor,"Global leader in AI-powered experience orchestration",https://www.linkedin.com/company/genesys/,Confirmed
Sophos,https://www.sophos.com,,Sponsor,"Managed security services, endpoint, network, email, and cloud security",https://www.linkedin.com/company/sophos/,Confirmed
8x8,https://www.8x8.com,,Sponsor,"Integrated platform for CX: Contact Center, UC, and CPaaS APIs with AI",https://www.linkedin.com/company/8x8/,Confirmed
Dialpad,https://www.dialpad.com,,Sponsor,"AI-Powered Customer Intelligence Platform: AI Contact Center, Sales, Voice, Meetings",https://www.linkedin.com/company/dialpad/,Confirmed
RingCentral,https://www.ringcentral.com,,Sponsor,"Global leader in AI-powered business communications and contact center",https://www.linkedin.com/company/ringcentral/,Confirmed
Five9,https://www.five9.com,,Sponsor,"Cloud contact center platform with AI-powered CX solutions; 3,000+ customers",https://www.linkedin.com/company/five9/,Confirmed
Sangoma,https://www.sangoma.com,,Sponsor,"Business communications platform: UCaaS, CCaaS, CPaaS, Trunking; 2.7M UC seats",https://www.linkedin.com/company/sangoma/,Confirmed
AudioCodes,https://www.audiocodes.com,,Sponsor,"30 years voice expertise; certified for Teams, Webex, Zoom, Genesys",https://www.linkedin.com/company/audiocodes/,Confirmed
Granite Channels,https://www.granitenet.com,,Sponsor,"Network connectivity/management solutions for multi-location enterprises; $1.8B company",https://www.linkedin.com/company/granite-telecommunications/,Confirmed
AireSpring,https://www.airespring.com,,Sponsor,"Global managed network services: SD-WAN, UCaaS, CCaaS, SIP, MPLS, Managed Security",https://www.linkedin.com/company/airespring/,Confirmed
Splashtop,https://www.splashtop.com,"1269, MSP46",Sponsor,"Cloud-native autonomous endpoint management and trusted remote access",https://www.linkedin.com/company/splashtop/,Confirmed
GTT Communications,https://www.gtt.net,,Sponsor,"Global networking provider; partner program for international reach and backbone resilience",https://www.linkedin.com/company/gtt/,Confirmed
CBTS,https://www.cbts.com,,Sponsor,"Full suite of tech solutions: AI, Cloud, Cybersecurity, Digital Workplace, Networking, Contact Center",https://www.linkedin.com/company/cbts/,Confirmed
Sandler Partners,https://www.sandlerpartners.com,,Sponsor,"Leading TSD empowering independent sales partners; 200+ providers",https://www.linkedin.com/company/sandler-partners/,Confirmed
Intelisys (ScanSource),https://www.intelisys.com,,Sponsor,"Technology services distributor owned by ScanSource",https://www.linkedin.com/company/intelisys/,Confirmed
AVANT,https://www.avant.com,,Sponsor,"Technology services distributor; 2,000+ trusted advisor partners",https://www.linkedin.com/company/avant-communications/,Confirmed
Spectrum Partner Program,https://www.spectrum.com/business,,Sponsor,"Charter/Spectrum business connectivity and partner program",https://www.linkedin.com/company/charter-communications/,Confirmed
CyberPower Systems,https://www.cyberpowersystems.com,1966,Exhibitor,"Power protection solutions for partners and businesses",https://www.linkedin.com/company/cyberpower-systems/,Confirmed
TimelyBill,https://www.timelybill.com,1936,Exhibitor,"Telecom billing and channel partner commission management platform",https://www.linkedin.com/company/timelybill/,Confirmed
Telefonica Global Solutions,https://globalsolutions.telefonica.com,1860,Exhibitor,"Cloud-UC, SDWAN-SASE, Dynamic Networks, SIP Trunking, IoT",https://www.linkedin.com/company/telefonica/,Confirmed
BEC Technologies,https://www.bectechnologies.net,1469,Exhibitor,"Connectivity and networking solutions",https://www.linkedin.com/company/bec-technologies/,Confirmed
Caller ID Reputation,https://www.calleridreputation.com,2960,Exhibitor,"Caller ID and reputation management services",https://www.linkedin.com/company/caller-id-reputation/,Confirmed
RingQ,https://www.ringq.com,2844,Exhibitor,"Communications/UCaaS provider",,Confirmed
Modius,https://www.modius.com,,Exhibitor,"DCIM - Data Center Infrastructure Management",https://www.linkedin.com/company/modius/,Confirmed
CloudCo Inc.,https://www.cloudco.com,,Exhibitor,"Cloud solutions for VARs, MSPs, ITSPs, hosted providers",,Confirmed
Equinix Inc.,https://www.equinix.com,,Exhibitor,"Global data center and interconnection platform",https://www.linkedin.com/company/equinix/,Confirmed
Keeper Security,https://www.keepersecurity.com,,Exhibitor,"Cybersecurity: password management, secrets management",https://www.linkedin.com/company/keeper-security/,Confirmed
Wildix Inc.,https://www.wildix.com,,Exhibitor,"UCaaS solution, 100% sales-oriented, founded 2005",https://www.linkedin.com/company/wildix/,Confirmed
888VoIP,https://www.888voip.com,,Exhibitor,"Premier VAD of VoIP hardware/software: Yealink, Grandstream, HP Poly, Snom, Fanvil",https://www.linkedin.com/company/888voip/,Confirmed
Algo,https://www.algosolutions.com,,First Time Sponsor,"IP endpoints for paging, emergency alerting, secure door entry; 50+ years",https://www.linkedin.com/company/algo-communication-products/,Confirmed
AnywhereNow,https://www.anywherenow.com,,First Time Sponsor,"AI-powered cloud-based contact centres for Microsoft Teams",https://www.linkedin.com/company/anywherenowhq/,Confirmed
SouthLight,https://www.southlight.com,,First Time Sponsor,"Modernizing legacy telecom; digital solutions for voice and life-safety",,Confirmed
Techmate,https://www.techmate.com,,First Time Sponsor,"On-site, on-demand IT support in 450+ cities",,Confirmed
ConectUS Wireless,https://www.conectus.com,,Exhibitor,"Platinum Verizon Master Agent; sell all Verizon Wireless products",https://www.linkedin.com/company/conectus-wireless/,Confirmed
BCM One,https://www.bcmone.com,,Exhibitor,"Enterprise Voice for Teams/Webex/Zoom; PSTN connectivity in 50 countries; Managed SIP",https://www.linkedin.com/company/bcm-one/,Confirmed
CallTower,https://www.calltower.com,,Exhibitor,"Cloud communications: Teams, Webex, Zoom Phone, AI-powered contact center",https://www.linkedin.com/company/calltower/,Confirmed
Stellar Cyber,https://www.stellarcyber.ai,,Exhibitor,"Open XDR/NG SIEM/NDR platform; serves 1/3 of top 250 MSSPs",https://www.linkedin.com/company/stellar-cyber/,Confirmed
Consensus Cloud Solutions (eFax),https://www.consensus.com,,Exhibitor,"Cloud fax and interoperability solutions",https://www.linkedin.com/company/consensus-cloud-solutions/,Confirmed
Fornix Marketing,https://www.fornixmarketing.com,,MSP Summit Sponsor,"MSP Summit Tech Sponsor Session sponsor",,Confirmed
Nitel,https://www.nitel.com,,Exhibitor,"Network connectivity and communications solutions (CEO Margi Shaw is a speaker)",https://www.linkedin.com/company/nitel/,Confirmed
MetTel,https://www.mettel.net,,Exhibitor,"Digital transformation solutions for enterprise",https://www.linkedin.com/company/mettel/,Confirmed
DocuWare,https://www.docuware.com,3140,Exhibitor,"Enterprise content management solutions with AI-powered Intelligent Document Processing",https://www.linkedin.com/company/docuware/,Confirmed
Intermedia,https://www.intermedia.com,,Exhibitor,"Cloud communications helping 130,000+ businesses; partner-first CORE model with 7,200+ channel partners",https://www.linkedin.com/company/intermedia-net/,Confirmed
Aura Business,https://www.aura.co,,Exhibitor,"First true BYOD security solution without MDM",,Confirmed
TD Synnex,https://www.tdsynnex.com,,Likely Exhibitor,"Major IT distributor; 23,000+ professionals worldwide",https://www.linkedin.com/company/tdsynnex/,Strongly Indicated
ScanSource,https://www.scansource.com,,Likely Exhibitor,"Technology products and solutions distributor; owns Intelisys",https://www.linkedin.com/company/scansource/,Strongly Indicated
Pax8,https://www.pax8.com,,Likely Exhibitor,"Cloud marketplace for MSPs; 30,000+ partner MSPs",https://www.linkedin.com/company/pax8/,Strongly Indicated
ConnectWise,https://www.connectwise.com,,Likely Exhibitor,"MSP software platform; RMM, PSA, cybersecurity",https://www.linkedin.com/company/connectwise/,Strongly Indicated
Kaseya/Datto,https://www.kaseya.com,,Likely Exhibitor,"MSP platform: IT management, security, backup",https://www.linkedin.com/company/kaseya/,Strongly Indicated
N-able,https://www.n-able.com,,Likely Exhibitor,"MSP software: RMM, backup, security",https://www.linkedin.com/company/n-able/,Strongly Indicated
Barracuda Networks,https://www.barracuda.com,,Likely Exhibitor,"Email, network, and application security for MSPs",https://www.linkedin.com/company/barracuda-networks/,Strongly Indicated
Acronis,https://www.acronis.com,,Likely Exhibitor,"Cyber protection solutions for MSPs",https://www.linkedin.com/company/acronis/,Strongly Indicated
Fortinet,https://www.fortinet.com,,Likely Exhibitor,"Network security, firewalls, SD-WAN",https://www.linkedin.com/company/fortinet/,Strongly Indicated
SonicWall,https://www.sonicwall.com,,Likely Exhibitor,"Network security; strong SMB/MSP channel",https://www.linkedin.com/company/sonicwall/,Strongly Indicated
Cato Networks,https://www.catonetworks.com,,Exhibitor,"SASE platform: SD-WAN + network security; confirmed on sponsors page",https://www.linkedin.com/company/cato-networks/,Confirmed
Zayo Group,https://www.zayo.com,,Likely Exhibitor,"Communications infrastructure; fiber, connectivity",https://www.linkedin.com/company/zayo-group/,Strongly Indicated
Windstream,https://www.windstream.com,,Likely Exhibitor,"Communications and managed services",https://www.linkedin.com/company/windstream/,Strongly Indicated
Momentum Telecom,https://www.momentumtelecom.com,,Likely Exhibitor,"Business voice, UC, cloud-based communications",https://www.linkedin.com/company/momentum-telecom/,Strongly Indicated
Cradlepoint,https://www.cradlepoint.com,,Likely Exhibitor,"5G/LTE wireless WAN solutions",https://www.linkedin.com/company/cradlepoint/,Strongly Indicated
CrowdStrike,https://www.crowdstrike.com,,Likely Exhibitor,"AI-native endpoint security; Falcon platform",https://www.linkedin.com/company/crowdstrike/,Strongly Indicated
SentinelOne,https://www.sentinelone.com,,Likely Exhibitor,"AI-powered cybersecurity; autonomous endpoint protection",https://www.linkedin.com/company/sentinelone/,Strongly Indicated
Bitdefender,https://www.bitdefender.com,,Likely Exhibitor,"Global cybersecurity; endpoint protection, detection and response",https://www.linkedin.com/company/bitdefender/,Strongly Indicated
Talkdesk,https://www.talkdesk.com,,Likely Exhibitor,"AI-powered CCaaS platform",https://www.linkedin.com/company/talkdesk/,Strongly Indicated
Versa Networks,https://www.versa-networks.com,,Likely Exhibitor,"SASE/SD-WAN platform",https://www.linkedin.com/company/versa-networks/,Strongly Indicated
Bigleaf Networks,https://www.bigleaf.net,,Likely Exhibitor,"SD-WAN and network optimization",https://www.linkedin.com/company/bigleaf-networks/,Strongly Indicated
Ooma,https://www.ooma.com,,Likely Exhibitor,"Business phone and communications",https://www.linkedin.com/company/ooma/,Strongly Indicated
Broadvoice,https://www.broadvoice.com,,Likely Exhibitor,"Cloud communications for businesses",https://www.linkedin.com/company/broadvoice/,Strongly Indicated
Channel Futures / Informa,https://www.channelfutures.com,,Media/Association Sponsor,"Official media partner; MSP and channel news/analysis",https://www.linkedin.com/company/channelfutures/,Confirmed
Aryaka Networks,https://www.aryaka.com,,Exhibitor,"Unified SASE as a Service provider; SD-WAN/SASE managed services",https://www.linkedin.com/company/aryaka-networks/,Confirmed
Wasabi Technologies,https://www.wasabi.com,,Exhibitor,"Hot cloud storage provider; S3-compatible, affordable cloud storage",https://www.linkedin.com/company/wasabi-technologies/,Confirmed
ArmorPoint,https://www.armorpoint.com,2323,Exhibitor,"Cybersecurity/managed SOC for MSPs",https://www.linkedin.com/company/armorpoint/,Confirmed
SCB Global,https://www.scbglobal.net,,First Time Exhibitor,"Microsoft Teams integration specialist; featured in New Exhibitor News Desk",https://www.linkedin.com/company/scb-global/,Confirmed
Datagate,https://www.datagate-i.com,,Exhibitor,"Telecom billing for MSPs; integrates with ConnectWise, Datto Autotask, QuickBooks",https://www.linkedin.com/company/datagate/,Confirmed
Microcall,https://www.microcall.com,,Exhibitor,"Call analytics for Microsoft Teams, Cisco, Avaya",https://www.linkedin.com/company/microcall/,Confirmed
Palo Alto Networks,https://www.paloaltonetworks.com,,Sponsor,"Cybersecurity leader; sponsor of Running the Channel event at CP 2026",https://www.linkedin.com/company/palo-alto-networks/,Confirmed
Cisco,https://www.cisco.com,,Sponsor,"Networking and security; sponsor of Running the Channel event at CP 2026",https://www.linkedin.com/company/cisco/,Confirmed
GTS,https://www.gts.com,,Sponsor,"Technology services distributor; sponsor of Running the Channel and Karaoke Idol events",https://www.linkedin.com/company/gts-telecom/,Confirmed
Young Channel Leaders (YCL),https://www.youngchannelleaders.com,7005,Exhibitor,"Emerging leaders community in the channel ecosystem",https://www.linkedin.com/company/young-channel-leaders/,Confirmed
Telesystem,https://www.telesystem.us,,Exhibitor,"UCaaS and connectivity provider; will have UFC champion at booth",https://www.linkedin.com/company/telesystem/,Confirmed
Omdia,https://www.omdia.com,,Media/Association Sponsor,"Technology research and advisory; Informa Tech brand",https://www.linkedin.com/company/omaborase/,Confirmed
CompTIA,https://www.comptia.org,,Media/Association Sponsor,"IT industry trade association and certification body",https://www.linkedin.com/company/comptia/,Confirmed
Light Reading,https://www.lightreading.com,,Media/Association Sponsor,"Telecommunications industry news and analysis",https://www.linkedin.com/company/light-reading/,Confirmed
Telecom Reseller,https://www.telecomreseller.com,,Media/Association Sponsor,"Telecom industry media partner",https://www.linkedin.com/company/telecom-reseller/,Confirmed
The SIP School,https://www.thesipschool.com,,Media/Association Sponsor,"SIP training and certification",https://www.linkedin.com/company/the-sip-school/,Confirmed
IoT World Today,https://www.iotworldtoday.com,,Media/Association Sponsor,"IoT industry news and analysis",https://www.linkedin.com/company/iot-world-today/,Confirmed
Inbenta,https://www.inbenta.com,,Exhibitor,"Award-winning AI platform; proprietary knowledge engineering and multi-model agentic framework",https://www.linkedin.com/company/inbenta/,Confirmed
Introw,https://www.introw.io,,Exhibitor,"Next-gen PRM platform; partner portals on top of HubSpot and Salesforce CRM",https://www.linkedin.com/company/introw/,Confirmed
3Eye Technologies,https://www.3eye.com,,Exhibitor,"Value-added IT distributor focused on the modern deskless workforce",https://www.linkedin.com/company/3eye-technologies/,Confirmed
Impossible Cloud,https://www.impossiblecloud.com,,Exhibitor,"S3-compatible object storage purpose-built for MSPs and IT service providers",https://www.linkedin.com/company/impossiblecloud/,Confirmed
NTS Direct,https://www.ntsdirect.com,,Exhibitor,"Value-added distributor of voice, data, networking technology; Master Agent for UCaaS, CPaaS, Cloud",https://www.linkedin.com/company/nts-direct/,Confirmed
Edify,https://www.edify.cx,,Exhibitor,"Connects businesses with customers; unites CCaaS, UCaaS, and CPaaS in single cloud-native solution",https://www.linkedin.com/company/edify-labs/,Confirmed
Fusion Connect,https://www.fusionconnect.com,,Exhibitor,"Next-gen managed communication service provider for mid-market and enterprise",https://www.linkedin.com/company/fusion-connect/,Confirmed
Channel Maven,https://www.channelmaven.com,,Exhibitor,"Channel marketing consulting and services",,Confirmed
Claro Enterprise Solutions,https://www.claroenterprise.com,,Exhibitor,"Enterprise ICT solutions provider; Americas-wide connectivity and cloud services",https://www.linkedin.com/company/claro-enterprise-solutions/,Confirmed
